following_id,follower_id
80184b5c-9432-4088-abb5-855a78269510,cdc9bab5-5470-4435-9d71-1527185905f6
378428d2-dfa5-42c5-9c4a-1fc49e17c6a3,2fd7c6a9-85fb-4561-a4fe-012a91bcef5d
18a0a306-0ac3-43d1-bd17-838dfb39d9bd,75d44318-93a8-4f5d-b71c-aa3fb6420c51
e1786f1f-31df-46f4-89be-27a0f627ca77,d4405aeb-fce1-47cd-9524-785b3dd97775
c767460a-d589-403f-9722-9449f731196a,fccbb7d0-622a-4966-98cd-b8a920f9b78e
926cf43d-1ea4-4ffa-a6e3-4e0773d48a82,c68ac8f4-e393-4fed-93ec-534f1b19b072
f485e048-3a00-4216-962e-bfd1b35c7602,078bcad7-ccbb-4f18-a1a9-f23f3018f9bb
d2776403-62f1-4334-a513-612d2b31abe2,d1e8e9b3-f701-4cac-9ca8-c1e4af0c1b9e
c5d08c0f-cec2-4ecd-8296-a79dd67f503e,8cd12899-59a9-4c8f-be2e-8003958005d9
72b7ddb2-9d72-4613-a748-b2e8adaa3f5b,8424d10c-062c-4f2e-b48e-d304bd2240b2
9e0025d6-6c70-47be-98f3-a47d513ded9a,9bc20aa8-3a7b-4d6b-882b-3cea943e3c97
f1ce0948-8086-435f-af04-a3e871a9274e,b23f6058-a11d-4f14-afdb-6c333bc4f716
3fd5da96-515d-4c48-9c28-10d4898213d6,08202a6d-c31a-4308-9b52-5f36c0c79044
67a768ba-7645-46fd-abca-5e16290ae5f5,56ec0f04-229a-47b8-993a-731886529356
40cd7d16-45b3-4c7f-bdbe-1ae69e5b5ddf,eb0ed515-52bf-4dae-99ee-fd9894d3948e
dbc7814b-daa3-4528-9830-af6d8c0e3fff,33f4a413-7ce3-41da-ae3b-39c019addeea
180fc78e-90f4-42b7-82b6-5dbc3fa93dbe,41a8a39a-4d31-4b04-a5bf-0fe315aeb0bc
7b76c548-62a9-4072-bb90-6aba00457b06,b1d69528-d7d9-4abc-89f9-f127d9855361
fbf35ca4-d29c-4e10-9ec4-6e6456c03f8a,0016242d-ceeb-44d0-bdfa-4afa7fd961cb
56550dac-849f-4b45-8c99-38d148126268,66915790-c39e-4fa3-899f-73e8e2532b39
55e9725f-0c53-4a42-95f0-e32e2e4496df,d8676754-97ef-43f3-add3-85be1158e953
bf2db464-b6e2-4a25-b6fb-4f3edef45121,cd098430-45f9-496d-9487-c19c2f8aed47
a954753d-5126-43ca-85cc-2838a8f9361e,b5c4f13a-fbd6-4e77-86ac-b89a304bfce4
4be40b93-db16-425a-81c9-2aaa6f6e8f7a,f85db88c-963d-467c-bd0f-b514c98a3b0d
733671a2-74b0-4a20-b01b-76e03f57a6c6,5688ef2f-d9d6-4ba3-9e05-0deb9342d26c
