id,following_id,follower_id,should_notify,creation_date
20cada8a-9ecd-486f-98fd-b58fb9a286a5,3e780982-0cda-4477-a356-66d30688551a,d14e9c6a-b9ac-4cbd-a96e-ff1263ffa956,True,2023-09-21 19:38:31.683847
f79d1581-05c5-424a-a541-8c06c0945543,eb12268b-ced3-495b-8fc1-696265fb6bcf,23e52969-dcdc-44a2-8db7-2aa36390b9cd,False,2023-09-21 19:38:31.683964
d3041bc5-7317-40be-8e20-e097cf2dba4d,5bc7af10-e494-4939-8ad0-d148657ffe86,e776627d-779e-4f3d-8b09-88b1227b3262,False,2023-09-21 19:38:31.684002
aeea1b0d-3748-4f14-9598-9fb857e56147,cebf7bc1-589c-434a-a094-ad87297621b8,ebd55ac5-f216-41c4-8417-3d7822ec6afc,True,2023-09-21 19:38:31.684038
21493926-190d-45fb-9db8-8b3a9fcb9b65,a6d26abb-327b-47af-9264-a074ba29a072,cc4c8669-310d-4788-823c-0821258462e1,False,2023-09-21 19:38:31.684073
6f04f3f1-f493-4428-b35c-9c3adfa5f8f6,20ef7028-a2d4-4f5d-8c9a-9ae9ab0b4d4d,8943b599-1e47-443e-bbe7-db9c76484b86,True,2023-09-21 19:38:31.684107
9b78f031-43ce-4804-a0d6-41893b329946,afcea711-db95-403b-936f-99bace048061,93b6bceb-264c-4874-80e2-92a05c2f3e2f,False,2023-09-21 19:38:31.684142
298aee20-7e77-4d03-86d2-600f0332baa5,ccbd282b-fdf6-416b-90d9-c750eead9f40,b31e9c61-e502-47f1-9515-9a88976fa6bb,True,2023-09-21 19:38:31.684175
62339b5a-843e-4932-bf27-6bf52dd79f3d,946a50d0-c05c-4c58-b64c-8cceb29a16f1,74e8da64-bf4f-4d1c-aa7f-c2ce35dcf653,False,2023-09-21 19:38:31.684209
845b82d3-d149-494e-ab10-ad47c42644c3,23b4e882-a913-4fd5-8813-f9635c5a3e4c,2e9a2cab-719d-4f09-b541-5f562ea7367f,True,2023-09-21 19:38:31.684243
303b50d6-1c55-4ff2-a526-472825c14ca8,1079867e-064b-4b57-9b49-988ec3e0e875,cb837c70-b81f-4ceb-b7d8-4bf30f0f6cae,True,2023-09-21 19:38:31.684276
4c7af340-5f58-4bd3-97c3-b2f1009f9b55,b86e3a84-8379-4303-ac88-97aee2cac78d,ad805451-d4c6-4911-bc06-c5c2c2307eb7,True,2023-09-21 19:38:31.684310
96dda181-8951-4660-903e-5ded31e7298e,f2062c66-a67d-4516-b315-0fe182263223,f9e405df-0c7f-433f-bd15-d4c048286e96,False,2023-09-21 19:38:31.684344
72fd6f07-cf9f-40b5-b132-2d704fec4c20,b0b30a1e-4cb9-47eb-b20a-470c05c15863,53975b58-da25-4d35-bbfe-764fa1d6c8f6,True,2023-09-21 19:38:31.684378
ebbbc4c0-b1bc-4c00-8113-2f0425c4957d,9ae580d9-0aa3-4b16-af11-d104be644471,64ef3910-0d19-48f3-8e42-26ef0c86c357,True,2023-09-21 19:38:31.684412
d0772d69-1975-46e7-b1d5-0ee5b1e869f8,fecf33ba-1078-4683-8860-2139375ed4ec,e776627d-779e-4f3d-8b09-88b1227b3262,False,2023-09-21 19:38:31.684445
8f45f2a2-b1b5-401e-bdb5-dd17b525bd9a,bcf932d7-75ab-40a4-96af-396fb5f740b9,15361a87-8cb4-448e-b86a-662aaac6d5e0,False,2023-09-21 19:38:31.684479
9df2f291-66b1-4983-ac5f-e8057f7481b1,bd464dd5-a8f4-4064-8342-67e7dca39800,0d3278ac-6882-4eaa-86de-181b241863c3,False,2023-09-21 19:38:31.684513
52de7911-b9cd-4d24-9387-0a1dd9995e7d,c6d7b5c6-d869-45da-9984-68ac6729c940,c3f9b7ee-34f3-4517-8b84-579f68b6a827,False,2023-09-21 19:38:31.684548
045fbc36-742f-4e94-82f0-d213e5e883b5,414ed8cb-dc22-4634-96aa-4e180e28b223,c1e97e04-7966-478b-85ec-75ec3dc089e8,False,2023-09-21 19:38:31.684582
852250b9-6f51-4a66-83de-9fe53ff11a8f,05fb230f-185b-4234-aca9-a74f8bbe6b9b,7a75b8d0-441d-4b1a-b65d-ccc5b857decb,False,2023-09-21 19:38:31.684615
425a5b07-f689-4528-9e8f-1c53ebef384c,aff4bc51-9f21-4339-b4e2-7c9bc4771340,f38be1c4-1dce-4078-b936-1bd2a0d94fd1,True,2023-09-21 19:38:31.684649
4d0994ea-5d1f-4aee-9728-1e9c4e55de9d,21da7936-cb21-4dc8-be36-a0af8d9af198,47ff2cad-056b-432f-94c0-96d32ae6108f,True,2023-09-21 19:38:31.684683
2117ff43-c810-4107-b849-4bd4d6287eab,91981760-b55b-44e3-a54e-4fd7a6886d97,58d96314-81c9-42bb-b8d7-8236347b00a0,True,2023-09-21 19:38:31.684717
